SampleAutoID,StationID,Strata,Bay,Date,Year,vent trap count,vent count BSB,vent CPUE,ventless trap count,ventless count BSB,ventless CPUE,AVG,SCPT
3933,4812,33,MassachusettsBay,6/29/2007,2007,3,0,0,3,0,0,0,0
3934,4846,33,MassachusettsBay,6/29/2007,2007,3,1,0.333333333,3,4,1.333333333,0.833333333,5
3935,4969,31,MassachusettsBay,6/29/2007,2007,3,0,0,3,0,0,0,0
3936,5000,33,MassachusettsBay,6/29/2007,2007,3,0,0,3,4,1.333333333,0.666666667,4
3937,5066,33,MassachusettsBay,6/29/2007,2007,3,0,0,2,0,0,0,0
3938,5222,32,MassachusettsBay,6/29/2007,2007,3,0,0,3,0,0,0,0
3939,5224,32,MassachusettsBay,6/29/2007,2007,3,0,0,3,0,0,0,0
3940,5350,32,MassachusettsBay,6/29/2007,2007,3,0,0,3,0,0,0,0
3941,5313,32,MassachusettsBay,6/29/2007,2007,3,0,0,3,0,0,0,0
3942,5117,31,MassachusettsBay,6/29/2007,2007,3,0,0,3,0,0,0,0
3943,4977,31,MassachusettsBay,6/29/2007,2007,3,0,0,3,0,0,0,0
3945,4812,33,MassachusettsBay,9/25/2007,2007,3,0,0,3,0,0,0,0
3946,4846,33,MassachusettsBay,9/25/2007,2007,3,0,0,2,0,0,0,0
3947,4969,31,MassachusettsBay,9/25/2007,2007,3,0,0,3,0,0,0,0
3948,5000,33,MassachusettsBay,9/25/2007,2007,3,0,0,3,0,0,0,0
3949,5066,33,MassachusettsBay,9/25/2007,2007,3,0,0,3,0,0,0,0
3950,5222,32,MassachusettsBay,9/25/2007,2007,3,0,0,3,0,0,0,0
3951,5224,32,MassachusettsBay,9/25/2007,2007,3,0,0,3,0,0,0,0
3952,5350,32,MassachusettsBay,9/25/2007,2007,3,0,0,3,0,0,0,0
3953,5313,32,MassachusettsBay,9/25/2007,2007,3,0,0,3,0,0,0,0
3954,5117,31,MassachusettsBay,9/25/2007,2007,3,0,0,3,0,0,0,0
3955,4977,31,MassachusettsBay,9/25/2007,2007,3,0,0,3,0,0,0,0
3956,4925,31,MassachusettsBay,9/25/2007,2007,3,0,0,3,0,0,0,0
3957,4812,33,MassachusettsBay,8/20/2007,2007,2,0,0,3,0,0,0,0
3958,4846,33,MassachusettsBay,8/20/2007,2007,3,0,0,3,0,0,0,0
3959,4969,31,MassachusettsBay,8/20/2007,2007,3,0,0,3,0,0,0,0
3960,5066,33,MassachusettsBay,8/20/2007,2007,2,0,0,1,0,0,0,0
3961,5222,32,MassachusettsBay,8/20/2007,2007,3,0,0,3,0,0,0,0
3962,5224,32,MassachusettsBay,8/20/2007,2007,3,0,0,3,0,0,0,0
3963,5350,32,MassachusettsBay,8/20/2007,2007,3,0,0,3,0,0,0,0
3964,5313,32,MassachusettsBay,8/20/2007,2007,3,0,0,3,0,0,0,0
3965,5117,31,MassachusettsBay,8/20/2007,2007,3,0,0,3,0,0,0,0
3966,4977,31,MassachusettsBay,8/20/2007,2007,3,0,0,3,0,0,0,0
3967,4925,31,MassachusettsBay,8/20/2007,2007,3,0,0,3,0,0,0,0
